hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,173.6723,174.1712,,,,,,,,,jiá-hō/liá-hō,1,j,w11.png,,,,,,174.1726,179.1634,,0,0,23,23,8,1,實驗材料,低,低,惹禍,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,179.1643,179.6717,,,,,,,,,,0,f,w75.png,,,,,,179.6731,184.6626,,0,0,24,24,64,1,filler_假詞,,,野吉,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,184.6634,185.1805,,,,,,,,,hòng-siā,1,j,w22.png,,,,,,185.1813,190.1714,,0,0,25,25,17,1,實驗材料,懸,低,放射,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,190.1724,190.6715,,,,,,,,,,0,f,w85.png,,,,,,190.6725,195.6716,,0,0,26,26,74,1,filler_假詞,,,素鼠,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,195.673,196.1615,,,,,,,,,gāi-gio̍h,1,j,w43.png,,,,,,196.1622,201.1714,,0,0,27,27,34,1,filler_純台語詞,,,礙虐,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,201.1722,201.6714,,,,,,,,,tshut-khì,1,j,w6.png,,,,,,201.6722,206.6711,,0,0,28,28,5,1,實驗材料,懸,懸,出去,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,206.672,207.1713,,,,,,,,,,0,f,w51.png,,,,,,207.1721,212.1637,,0,0,29,29,40,1,filler_假詞,,,線瓜,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,212.1643,212.679,,,,,,,,,,0,f,w54.png,,,,,,212.6797,217.6714,,0,0,30,30,43,1,filler_假詞,,,狗人,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,217.6722,218.1714,,,,,,,,,su-iàu,1,j,w4.png,,,,,,218.1723,223.1714,,0,0,31,31,3,1,實驗材料,懸,懸,需要,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,223.1728,223.6614,,,,,,,,,,0,f,w63.png,,,,,,223.6623,228.6711,,0,0,32,32,52,1,filler_假詞,,,語情,,
